Level,ID,Requirement,Parent Requirement,Child Requirement,Verification Method,Notes,,
,LEVEL 0,FUNCTIONAL ,,,,,,
0,FR 1,UAS shall determine autonomously how to position and navigate the aircraft to acquire a RGV.,,"AUT 3-4, AUT 7",,"Acquire: Spotting a RGV during seach phase, prior to coarse localization. ",,
0,FR 2,UAS shall determine autonomously how to position and navigate the aircraft to localize a RGV.,,AUT 5-7,,Localize: Provide inertial estimate of RGV. ,,
0,FR 3,UAS shall respond to flight operator inputs provided through the ground station UI to ensure safe execution of flight and tracking behaviors. ,,,,,,
0,FR 4,The aircraft shall take off from and land at a designated home base that is located at least 30 ft from the outer perimeter of the mission area.,,,,,,
0,FR 5,UAS shall perform all autonomous motion within the designated mission environment.,,AUT 1,,,,
0,FR 6,UAS shall remain within visual line of sight (VLOS) of the operator.,,AUT 2,,,,
0,FR 7,The data collected during flight shall be stored or transmitted back to the operator and displayed on the ground station UI.,,AUT 14-15,,,,
0,FR 8,"UAS shall complete all stages of the mission in a safe, controlled, and repeatable way.",,"AUT 8-13, AUT 16",,,,
0,FR 9,UAS shall adhere to all applicable regulations concerning aviation and communication.,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,LEVEL 1,SYSTEM REQUIREMENTS,,,,,,
,Autonomy ,,,,,,Verification Key ,
1,AUT 1,"All UAS motion, besides takeoff and landing, shall stay within the identified 150 ft x 150 ft environment.",FR 5,AUT 1.1,A,,I - Inspection,Use one of the senses to prove system meets requirements
1,AUT 2,"All UAS motion, besides takeoff and landing, shall be between 30-60 ft relative to the ground.",FR 6,AUT 2.1,A,,A - Analysis,"Uses unit testing, modeling, and system knowledge"
1,AUT 3,UAS shall autonomously recognize and transition to the search phase as needed.,FR 1,"AUT 3.1, 3.2, 3.3",D,,T - Test,Uses special test equipment and requires running multiple tests for data acquisitions
1,AUT 4,UAS shall autonomously recognize and transition to the RGV trailing phase as needed.,FR 1,"AUT 4.1, 4.2",D,,D - Demonstration,Runs a test without special equipment to collection data
1,AUT 5,UAS shall autonomously recognize and transition to the coarse localization phase as needed.,FR 2,AUT 5.1,D,,,
1,AUT 6,UAS shall autonomously recognize and transition to the fine localization phase as needed.,FR 2,AUT 6.1,D,,,
1,AUT 7,UAS shall autonomously recognize and transition to the joint localization phase as needed.,"FR 1, FR 2",AUT 7.1,D,,,
1,AUT 8,UAS shall autonomously recognize when the mission has been completed.,FR 8,"AUT 8.1, 8.2, 8.3",D,,,
1,AUT 9,UAS shall autonomously perform all motion planning necessary during the searching phase.,FR 8,"AUT 9.1, 9.2",A,,,
