Level,ID,Requirement,Parent Requirement,Child Requirement,Verification Method,Notes,,
,LEVEL 0,FUNCTIONAL ,,,,,,
0,FR 1,UAS shall determine autonomously how to navigate the aircraft to collect localization data on a RGV.,,"AUT 4-10, UAS 3, UAS 5-6, UAS 9, SNS 2-7",A,Localize: Provide inertial estimate of RGV. ,,
0,FR 2,UAS shall respond to flight operator inputs provided through a manual controller. ,,"AUT 12, UAS 4",D,,,
0,FR 3,The aircraft shall take off from and land at a designated home base that is located at least 30 ft from the outer perimeter of the mission area.,,,D,,,
0,FR 4,UAS shall perform all autonomous motion within the designated mission environment in accordance with the CU FAA certificate of authorization (2023-WSA-13256-COA).,,AUT 1-3,A,,,
0,FR 5,UAS shall provide its own power source and be untethered. ,,UAS 2,I,,,
0,FR 6,All sensor data shall be logged on-board the UAS with necessary data displayed on the ground UI. ,,"AUT 11, UAS 7-8, SNS 1",D,,,
,,,,,,,,
,LEVEL 1,SYSTEM REQUIREMENTS,,,,,,
,Autonomy ,,,,,,Verification Key ,
1,AUT 1,"All UAS motion, besides takeoff and landing, shall stay within the operating environment",FR 4,"AUT 1.1, 1.2",D,AUT 1,,
1,AUT 2,UAS shall perform all autonomous motion in a safe and controlled way.,FR 4,,I,AUT 16,,
1,AUT 3,UAS shall autonomously recognize when the mission has been completed.,FR 1,AUT 3.1,D,AUT 8,,
1,AUT 4,UAS shall transition between mission phases.,FR 1," AUT 4.1, 4.2, 4.3, 4.4, 4.5, 4.6",D,"covers AUT 3-7, matlab sim",,
1,AUT 5,UAS shall autonomously execute maneuvers to allow searching of the 150 x 150 ft environment.,FR 1," AUT 5.1, 5.2",D,covers AUT 9,,
1,AUT 6,"UAS shall autonomously execute maneuvers to allow trailing, staying within 40 ft ground distance of acquired RGV ground targets.",FR 1,AUT 6.1,D,covers AUT 10,,
1,AUT 7,UAS shall autonomously execute maneuvers that permit data collection for coarse RGV target localization.,FR 1,AUT 7.1,D,covers AUT 11,,
1,AUT 8,UAS shall autonomously execute maneuvers that permit data collection for fine RGV target localization.,FR 1,AUT 8.1,D,covers AUT 12,,
1,AUT 9,UAS shall autonomously execute maneuvers that permit data collection for joint RGV target localization.,FR 1,AUT 9.1,D,covers AUT 13,,
1,AUT 10,UAS shall autonomously transmit the necessary information to the user via a ground UI.,FR 6,"AUT 10.1, 10.2, 10.3",D/I,AUT 14,,
1,AUT 11,UAS shall be able to initiate and disengage the autonomous flight via a ground UI.,FR 2,"AUT 11.1, 11.2, 11.3, 11.4",D,AUT 15,,
1,AUT 12,The system shall be fully Robot Operating System (ROS) compatible.,FR 2,,I,AUT 17,,
,,,,,,,I - Inspection,Use one of the senses to prove system meets requirements
,Drone,,,,,,A - Analysis,"Uses unit testing, modeling, and system knowledge"
1,UAS 1,UAS shall accommodate for the weight and size of the sensor payloads.,FR 5,"UAS 1.1, 1.2",A,,,
1,UAS 2,UAS shall provide necessary electrical power to all systems for a 15-minute flight.,FR 5,"UAS 2.1, 2.2",T/A,,,
1,UAS 3,UAS shall provide the necessary computational power for all operations during a 15-minute flight.,FR 1,,A,,,
1,UAS 4,UAS shall provide the framework for manual flight.,FR 4,"UAS 4.1, ",I,,,
1,UAS 5,UAS shall provide the framework for autonomous flight.,FR 1,,I,,,
1,UAS 6,UAS shall have all necessary sensors to determine it's attitude and inertial position.,FR 1,,T/A,,,
1,UAS 7,UAS shall be capable of transferring and recieving all necessary data to and from the ground station UI. ,FR 6,"UAS 7.1, 7.2",T,,,
1,UAS 8,UAS shall be capable of storing data that will be accessible at the end of the flight.,FR 6,,T,,,
1,UAS 9,UAS shall adhere to all relevant FAA and CU airworthiness regulations.,FR 4,"UAS 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7",I/A,,,
,,,,,,,,
,Sensing,,,,,,,
1,SNS 1,UAS shall display live aircraft states and desired RGV tracking artifacts to the operator at a ground control station through a UI.,FR 6,"SNS 1.1, 1.2, 1.3",I/D,,,
1,SNS 2,UAS shall use an RGB camera as its primary sensor.,FR 1,SNS 2.1,I ,,,
1,SNS 3,UAS shall have an onboard secondary sensor.,FR 1,SNS 3.1,I ,,,
1,SNS 4,UAS shall be able to identify both RGVs and differentiate between them,FR 1,"SNS 4.1, 4.2, 4.3, 4.4",D ,,,
1,SNS 5,UAS shall maintain mostly uninterrupted visual detection of a selected RGV target within its RGB camera sensor field of view when following an RGV.,FR 1,SNS 5.1,D ,,,
1,SNS 6,UAS shall not communicate with RGVs.,FR 1,"SNS 6.1, 6.2",I,,,
1,SNS 7,UAS shall adhere to all FCC regulations.,FR 4,SNS 7.1,I/A,,,
,,,,,,,,
,LEVEL 2 ,SUB-SYSTEM REQUIREMENTS,,,,,,
,Autonomy,,,,,,,
2,AUT 1.1,All motion planning shall include horizontal plane bounds on UAS movement so it stays within the 150 x 150 ft mission area.,AUT 1,,A,,,
2,AUT 1.2,All motion planning shall include vertical axis bounds on UAS movement so it stays between 30 and 60 ft.,AUT 1,,A,,,
2,AUT 3.1,UAS shall initiate the landing phase after mission completion.,AUT 3,,D,,,
2,AUT 4.1,UAS shall recognize when a height of 30-60 ft relative to the ground is reached during the takeoff phase and will begin searching for RGVs.,AUT 4,,D,,,
2,AUT 4.2,UAS shall recognize when an RGV has been acquired and will begin trailing the motion of the RGV.,AUT 4,,D,,,
2,AUT 4.3,"UAS shall recognize when a tracked RGV stops its motion, characterized by a speed of 0 m/s, and will then begin acquisition of data for coarse localization.",AUT 4,,D,,,
2,AUT 4.4,UAS shall recognize when an RGV has gathered data for coarse localization for at least 60 seconds and will then begin acquisition of data for fine localization.,AUT 4,,D,,,
